4gtv,#genre#
VOA 美國之音,http://2099.tv12.xyz/395_1765359341675.m3u8
CNBC Asia 財經台,http://2099.tv12.xyz/396_1765359341675.m3u8
DW德國之聲,http://2099.tv12.xyz/397_1765359341675.m3u8
非凡新聞,http://2099.tv12.xyz/398_1765359341675.m3u8
非凡商業,http://2099.tv12.xyz/399_1765359341675.m3u8
台視財經台,http://2099.tv12.xyz/400_1765359341675.m3u8
鏡電視新聞台,http://2099.tv12.xyz/401_1765359341675.m3u8
東森新聞,http://2099.tv12.xyz/402_1765359341675.m3u8
民視新聞,http://2099.tv12.xyz/403_1765359341675.m3u8
TVBS新聞台,http://2099.tv12.xyz/404_1765359341675.m3u8
東森財經新聞,http://2099.tv12.xyz/405_1765359341675.m3u8
中視新聞台,http://2099.tv12.xyz/406_1765359341675.m3u8
中天新聞台,http://2099.tv12.xyz/407_1765359341675.m3u8
寰宇新聞,http://2099.tv12.xyz/408_1765359341675.m3u8
寰宇新聞台灣台,http://2099.tv12.xyz/409_1765359341675.m3u8
寰宇財經,http://2099.tv12.xyz/410_1765359341675.m3u8
半島國際新聞台,http://2099.tv12.xyz/411_1765359341675.m3u8
VOA 美國之音,http://2099.tv12.xyz/412_1765359341675.m3u8
台視新聞台,http://2099.tv12.xyz/413_1765359341675.m3u8
